"","empo_3","Phylum","Abundance","Rreq"
"699","Soil (non-saline)","Chloroflexi",290621,"2.08%"
"700","Soil (non-saline)","CKC4",2,"0%"
"701","Soil (non-saline)","Cloacimonetes",24,"0%"
"702","Soil (non-saline)","Crenarchaeota",17393,"0.12%"
"703","Soil (non-saline)","Cyanobacteria",108375,"0.77%"
"704","Soil (non-saline)","Deferribacteres",160,"0%"
"705","Soil (non-saline)","Deinococcus-Thermus",6083,"0.04%"
"706","Soil (non-saline)","Diapherotrites",1,"0%"
"707","Soil (non-saline)","Dictyoglomi",1,"0%"
"708","Soil (non-saline)","Elusimicrobia",27753,"0.2%"
"709","Soil (non-saline)","Euryarchaeota",17627,"0.13%"
"710","Soil (non-saline)","Fibrobacteres",7907,"0.06%"
"711","Soil (non-saline)","Firmicutes",713447,"5.1%"
"712","Soil (non-saline)","Fusobacteria",12458,"0.09%"
"713","Soil (non-saline)","GAL08",44,"0%"
"714","Soil (non-saline)","Gemmatimonadetes",298450,"2.13%"
"715","Soil (non-saline)","GOUTA4",477,"0%"
"716","Soil (non-saline)","Gracilibacteria",397,"0%"
"717","Soil (non-saline)","Hyd24-12",1,"0%"
"718","Soil (non-saline)","Hydrogenedentes",2145,"0.02%"
"719","Soil (non-saline)","JL-ETNP-Z39",1827,"0.01%"
"720","Soil (non-saline)","Kazan-3B-09",7,"0%"
"721","Soil (non-saline)","Latescibacteria",31882,"0.23%"
"722","Soil (non-saline)","Lentisphaerae",3993,"0.03%"
"723","Soil (non-saline)","Marine Hydrothermal Vent Group(MHVG)",2,"0%"
"724","Soil (non-saline)","Marinimicrobia (SAR406 clade)",32,"0%"
"725","Soil (non-saline)","Microgenomates",1888,"0.01%"
"726","Soil (non-saline)","Miscellaneous Crenarchaeotic Group",3186,"0.02%"
"727","Soil (non-saline)","Miscellaneous Euryarchaeotic Group(MEG)",17,"0%"
"728","Soil (non-saline)","Nitrospirae",122150,"0.87%"
"729","Soil (non-saline)","OC31",2,"0%"
"730","Soil (non-saline)","Omnitrophica",2620,"0.02%"
"731","Soil (non-saline)","Parcubacteria",3130,"0.02%"
"732","Soil (non-saline)","Parvarchaeota",56,"0%"
"733","Soil (non-saline)","PAUC34f",52,"0%"
"734","Soil (non-saline)","Planctomycetes",251808,"1.8%"
"735","Soil (non-saline)","Proteobacteria",4787424,"34.19%"
"736","Soil (non-saline)","RsaHF231",3,"0%"
"737","Soil (non-saline)","Saccharibacteria",1394,"0.01%"
"738","Soil (non-saline)","SHA-109",1093,"0.01%"
"739","Soil (non-saline)","SM1K20",48,"0%"
"740","Soil (non-saline)","SM2F11",2751,"0.02%"
"741","Soil (non-saline)","Spirochaetae",5463,"0.04%"
"742","Soil (non-saline)","Synergistetes",71,"0%"
"743","Soil (non-saline)","TA06",769,"0.01%"
"744","Soil (non-saline)","Tenericutes",8464,"0.06%"
"745","Soil (non-saline)","Thaumarchaeota",96389,"0.69%"
"746","Soil (non-saline)","Thermotogae",827,"0.01%"
"747","Soil (non-saline)","TM6",5761,"0.04%"
"748","Soil (non-saline)","uncultured archaeon",246,"0%"
"749","Soil (non-saline)","Verrucomicrobia",1442243,"10.3%"
"750","Soil (non-saline)","WCHB1-60",3901,"0.03%"
"751","Soil (non-saline)","WD272",26823,"0.19%"
"752","Soil (non-saline)","Woesearchaeota (DHVEG-6)",1264,"0.01%"
"753","Surface (non-saline)","Acetothermia",1847,"0.02%"
"754","Surface (non-saline)","Acidobacteria",614776,"6.57%"
"755","Surface (non-saline)","Actinobacteria",867881,"9.28%"
"756","Surface (non-saline)","Aerophobetes",329,"0%"
"757","Surface (non-saline)","Aigarchaeota",1262,"0.01%"
"758","Surface (non-saline)","Aminicenantes",255,"0%"
"759","Surface (non-saline)","aquifer1",138,"0%"
"760","Surface (non-saline)","Aquificae",19316,"0.21%"
"761","Surface (non-saline)","Armatimonadetes",49233,"0.53%"
"762","Surface (non-saline)","Atribacteria",312,"0%"
"763","Surface (non-saline)","Bacteroidetes",648248,"6.93%"
"764","Surface (non-saline)","Caldiserica",871,"0.01%"
"765","Surface (non-saline)","Calescamantes",27,"0%"
"766","Surface (non-saline)","Candidate division OP3",2401,"0.03%"
"767","Surface (non-saline)","Candidate division SR1",5389,"0.06%"
"768","Surface (non-saline)","Candidate division WS6",3,"0%"
"769","Surface (non-saline)","Chlamydiae",24467,"0.26%"
"770","Surface (non-saline)","Chlorobi",41754,"0.45%"
"771","Surface (non-saline)","Chloroflexi",175841,"1.88%"
"772","Surface (non-saline)","CKC4",15,"0%"
"773","Surface (non-saline)","Cloacimonetes",8,"0%"
"774","Surface (non-saline)","Crenarchaeota",1,"0%"
"775","Surface (non-saline)","Cyanobacteria",480236,"5.14%"
"776","Surface (non-saline)","Deferribacteres",836,"0.01%"
"777","Surface (non-saline)","Deinococcus-Thermus",39626,"0.42%"
"778","Surface (non-saline)","Diapherotrites",96,"0%"
"779","Surface (non-saline)","Dictyoglomi",1,"0%"
"780","Surface (non-saline)","Elusimicrobia",3787,"0.04%"
"781","Surface (non-saline)","Euryarchaeota",5388,"0.06%"
"782","Surface (non-saline)","Fibrobacteres",607,"0.01%"
"783","Surface (non-saline)","Firmicutes",1145655,"12.25%"
"784","Surface (non-saline)","Fusobacteria",60652,"0.65%"
"785","Surface (non-saline)","GAL08",85,"0%"
"786","Surface (non-saline)","Gemmatimonadetes",69596,"0.74%"
"787","Surface (non-saline)","GOUTA4",119,"0%"
"788","Surface (non-saline)","Gracilibacteria",2848,"0.03%"
"789","Surface (non-saline)","Hyd24-12",49,"0%"
"790","Surface (non-saline)","Hydrogenedentes",2173,"0.02%"
"791","Surface (non-saline)","JL-ETNP-Z39",210,"0%"
"792","Surface (non-saline)","Kazan-3B-09",16,"0%"
"793","Surface (non-saline)","Latescibacteria",21691,"0.23%"
"794","Surface (non-saline)","LCP-89",58,"0%"
"795","Surface (non-saline)","Lentisphaerae",3243,"0.03%"
"796","Surface (non-saline)","Marinimicrobia (SAR406 clade)",123,"0%"
"797","Surface (non-saline)","Microgenomates",1006,"0.01%"
"798","Surface (non-saline)","Miscellaneous Crenarchaeotic Group",26,"0%"
"799","Surface (non-saline)","Miscellaneous Euryarchaeotic Group(MEG)",495,"0.01%"
"800","Surface (non-saline)","Nitrospirae",148422,"1.59%"
"801","Surface (non-saline)","OC31",5,"0%"
"802","Surface (non-saline)","Omnitrophica",1408,"0.02%"
"803","Surface (non-saline)","Parcubacteria",3071,"0.03%"
"804","Surface (non-saline)","Parvarchaeota",9,"0%"
"805","Surface (non-saline)","PAUC34f",213,"0%"
"806","Surface (non-saline)","Planctomycetes",169615,"1.81%"
"807","Surface (non-saline)","Proteobacteria",4195241,"44.86%"
"808","Surface (non-saline)","RsaHF231",1,"0%"
"809","Surface (non-saline)","S2R-29",1657,"0.02%"
"810","Surface (non-saline)","Saccharibacteria",460,"0%"
"811","Surface (non-saline)","SHA-109",494,"0.01%"
"812","Surface (non-saline)","SM1K20",1,"0%"
"813","Surface (non-saline)","SM2F11",1416,"0.02%"
"814","Surface (non-saline)","Spirochaetae",1937,"0.02%"
"815","Surface (non-saline)","Synergistetes",67,"0%"
"816","Surface (non-saline)","TA06",4826,"0.05%"
"817","Surface (non-saline)","Tenericutes",285008,"3.05%"
"818","Surface (non-saline)","Thaumarchaeota",35957,"0.38%"
"819","Surface (non-saline)","Thermodesulfobacteria",4,"0%"
"820","Surface (non-saline)","Thermotogae",11029,"0.12%"
"821","Surface (non-saline)","TM6",6330,"0.07%"
"822","Surface (non-saline)","uncultured archaeon",1,"0%"
"823","Surface (non-saline)","Verrucomicrobia",189643,"2.03%"
"824","Surface (non-saline)","WCHB1-60",421,"0%"
"825","Surface (non-saline)","WD272",152,"0%"
"826","Surface (non-saline)","Woesearchaeota (DHVEG-6)",610,"0.01%"
"827","Surface (saline)","Acetothermia",8257,"0.05%"
"828","Surface (saline)","Acidobacteria",160810,"0.9%"
"829","Surface (saline)","Actinobacteria",586234,"3.28%"
"830","Surface (saline)","Aenigmarchaeota",24,"0%"
"831","Surface (saline)","Aerophobetes",435,"0%"
"832","Surface (saline)","Aminicenantes",1391,"0.01%"
"833","Surface (saline)","Ancient Archaeal Group(AAG)",2,"0%"
"834","Surface (saline)","aquifer1",45,"0%"
"835","Surface (saline)","Aquificae",12605,"0.07%"
"836","Surface (saline)","Armatimonadetes",14484,"0.08%"
"837","Surface (saline)","Atribacteria",3530,"0.02%"
"838","Surface (saline)","Bacteroidetes",2444346,"13.66%"
"839","Surface (saline)","Caldiserica",22,"0%"
"840","Surface (saline)","Candidate division OP3",6423,"0.04%"
"841","Surface (saline)","Candidate division SR1",1490,"0.01%"
"842","Surface (saline)","Chlamydiae",962,"0.01%"
"843","Surface (saline)","Chlorobi",21168,"0.12%"
"844","Surface (saline)","Chloroflexi",95925,"0.54%"
"845","Surface (saline)","CKC4",5,"0%"
"846","Surface (saline)","Cloacimonetes",723,"0%"
"847","Surface (saline)","Cyanobacteria",2678289,"14.97%"
"848","Surface (saline)","Deferribacteres",12332,"0.07%"
"849","Surface (saline)","Deinococcus-Thermus",5101,"0.03%"
"850","Surface (saline)","Diapherotrites",7,"0%"
"851","Surface (saline)","Dictyoglomi",10,"0%"
"852","Surface (saline)","Elusimicrobia",1933,"0.01%"
"853","Surface (saline)","Euryarchaeota",12863,"0.07%"
"854","Surface (saline)","Fibrobacteres",2937,"0.02%"
"855","Surface (saline)","Firmicutes",1200575,"6.71%"
"856","Surface (saline)","Fusobacteria",22255,"0.12%"
"857","Surface (saline)","Gemmatimonadetes",31259,"0.17%"
"858","Surface (saline)","GOUTA4",38,"0%"
"859","Surface (saline)","Gracilibacteria",12179,"0.07%"
"860","Surface (saline)","Hyd24-12",453,"0%"
"861","Surface (saline)","Hydrogenedentes",2088,"0.01%"
"862","Surface (saline)","JL-ETNP-Z39",290,"0%"
"863","Surface (saline)","Kazan-3B-09",107,"0%"
"864","Surface (saline)","Latescibacteria",13076,"0.07%"
"865","Surface (saline)","LCP-89",52,"0%"
"866","Surface (saline)","LD1-PA38",80,"0%"
"867","Surface (saline)","Lentisphaerae",29810,"0.17%"
"868","Surface (saline)","Marine Hydrothermal Vent Group(MHVG)",33,"0%"
"869","Surface (saline)","Marinimicrobia (SAR406 clade)",5087,"0.03%"
"870","Surface (saline)","Microgenomates",288,"0%"
"871","Surface (saline)","Miscellaneous Crenarchaeotic Group",429,"0%"
"872","Surface (saline)","Miscellaneous Euryarchaeotic Group(MEG)",3,"0%"
"873","Surface (saline)","Nitrospirae",154614,"0.86%"
"874","Surface (saline)","OC31",19,"0%"
"875","Surface (saline)","Omnitrophica",32428,"0.18%"
"876","Surface (saline)","Parcubacteria",7031,"0.04%"
"877","Surface (saline)","Parvarchaeota",7,"0%"
"878","Surface (saline)","PAUC34f",1307,"0.01%"
"879","Surface (saline)","Planctomycetes",389389,"2.18%"
"880","Surface (saline)","Proteobacteria",9387089,"52.47%"
"881","Surface (saline)","RsaHF231",2,"0%"
"882","Surface (saline)","Saccharibacteria",191,"0%"
"883","Surface (saline)","SHA-109",1912,"0.01%"
"884","Surface (saline)","SM1K20",7,"0%"
"885","Surface (saline)","SM2F11",436,"0%"
"886","Surface (saline)","Spirochaetae",11773,"0.07%"
"887","Surface (saline)","Synergistetes",311,"0%"
"888","Surface (saline)","TA06",890,"0%"
"889","Surface (saline)","Tenericutes",3870,"0.02%"
"890","Surface (saline)","Thaumarchaeota",34129,"0.19%"
"891","Surface (saline)","Thermotogae",118,"0%"
"892","Surface (saline)","TM6",2907,"0.02%"
"893","Surface (saline)","uncultured archaeon",225,"0%"
"894","Surface (saline)","Verrucomicrobia",464163,"2.59%"
"895","Surface (saline)","WCHB1-60",1621,"0.01%"
"896","Surface (saline)","WD272",22,"0%"
"897","Surface (saline)","Woesearchaeota (DHVEG-6)",6211,"0.03%"
"898","Water (non-saline)","Acetothermia",198,"0%"
"899","Water (non-saline)","Acidobacteria",366560,"1.81%"
"900","Water (non-saline)","Actinobacteria",3250148,"16.05%"
"901","Water (non-saline)","Aenigmarchaeota",147,"0%"
"902","Water (non-saline)","Aerophobetes",192,"0%"
"903","Water (non-saline)","Aminicenantes",18375,"0.09%"
"904","Water (non-saline)","aquifer1",89,"0%"
"905","Water (non-saline)","Armatimonadetes",33499,"0.17%"
"906","Water (non-saline)","Atribacteria",660,"0%"
"907","Water (non-saline)","Bacteroidetes",3422394,"16.9%"
"908","Water (non-saline)","Caldiserica",145,"0%"
"909","Water (non-saline)","Candidate division OP3",22010,"0.11%"
"910","Water (non-saline)","Candidate division SR1",2431,"0.01%"
"911","Water (non-saline)","Chlamydiae",8676,"0.04%"
"912","Water (non-saline)","Chlorobi",112650,"0.56%"
"913","Water (non-saline)","Chloroflexi",350766,"1.73%"
"914","Water (non-saline)","CKC4",221,"0%"
"915","Water (non-saline)","Cloacimonetes",1465,"0.01%"
"916","Water (non-saline)","Crenarchaeota",258,"0%"
"917","Water (non-saline)","Cyanobacteria",2945876,"14.55%"
"918","Water (non-saline)","Deferribacteres",1791,"0.01%"
"919","Water (non-saline)","Deinococcus-Thermus",2509,"0.01%"
"920","Water (non-saline)","Diapherotrites",68,"0%"
"921","Water (non-saline)","Dictyoglomi",7,"0%"
"922","Water (non-saline)","Elusimicrobia",13723,"0.07%"
"923","Water (non-saline)","Euryarchaeota",28563,"0.14%"
"924","Water (non-saline)","Fibrobacteres",4194,"0.02%"
"925","Water (non-saline)","Firmicutes",467255,"2.31%"
"926","Water (non-saline)","Fusobacteria",15785,"0.08%"
"927","Water (non-saline)","GAL08",65,"0%"
"928","Water (non-saline)","Gemmatimonadetes",56677,"0.28%"
"929","Water (non-saline)","GOUTA4",586,"0%"
"930","Water (non-saline)","Gracilibacteria",4122,"0.02%"
"931","Water (non-saline)","Hyd24-12",258,"0%"
"932","Water (non-saline)","Hydrogenedentes",1072,"0.01%"
"933","Water (non-saline)","JL-ETNP-Z39",28,"0%"
"934","Water (non-saline)","Kazan-3B-09",283,"0%"
"935","Water (non-saline)","Latescibacteria",11411,"0.06%"
"936","Water (non-saline)","LCP-89",218,"0%"
"937","Water (non-saline)","Lentisphaerae",12794,"0.06%"
"938","Water (non-saline)","Marine Hydrothermal Vent Group(MHVG)",6,"0%"
"939","Water (non-saline)","Marinimicrobia (SAR406 clade)",3385,"0.02%"
"940","Water (non-saline)","Microgenomates",2700,"0.01%"
"941","Water (non-saline)","Miscellaneous Crenarchaeotic Group",16909,"0.08%"
"942","Water (non-saline)","Miscellaneous Euryarchaeotic Group(MEG)",92,"0%"
"943","Water (non-saline)","Nitrospirae",41006,"0.2%"
"944","Water (non-saline)","OC31",78,"0%"
"945","Water (non-saline)","Omnitrophica",12577,"0.06%"
"946","Water (non-saline)","Parcubacteria",28041,"0.14%"
"947","Water (non-saline)","Parvarchaeota",362,"0%"
"948","Water (non-saline)","PAUC34f",438,"0%"
"949","Water (non-saline)","Planctomycetes",360535,"1.78%"
"950","Water (non-saline)","Proteobacteria",7777792,"38.41%"
"951","Water (non-saline)","RsaHF231",30,"0%"
"952","Water (non-saline)","Saccharibacteria",3273,"0.02%"
"953","Water (non-saline)","SHA-109",631,"0%"
"954","Water (non-saline)","SM1K20",716,"0%"
"955","Water (non-saline)","SM2F11",5414,"0.03%"
"956","Water (non-saline)","Spirochaetae",16512,"0.08%"
"957","Water (non-saline)","Synergistetes",211,"0%"
"958","Water (non-saline)","TA06",1999,"0.01%"
"959","Water (non-saline)","Tenericutes",1191,"0.01%"
"960","Water (non-saline)","Thaumarchaeota",16940,"0.08%"
"961","Water (non-saline)","Thermotogae",84,"0%"
"962","Water (non-saline)","TM6",6917,"0.03%"
"963","Water (non-saline)","uncultured archaeon",12,"0%"
"964","Water (non-saline)","Verrucomicrobia",779446,"3.85%"
"965","Water (non-saline)","WCHB1-60",6159,"0.03%"
"966","Water (non-saline)","WD272",188,"0%"
"967","Water (non-saline)","Woesearchaeota (DHVEG-6)",4952,"0.02%"
"968","Water (saline)","Acetothermia",263,"0%"
"969","Water (saline)","Acidobacteria",468181,"2.9%"
"970","Water (saline)","Actinobacteria",542563,"3.36%"
"971","Water (saline)","Aenigmarchaeota",19,"0%"
"972","Water (saline)","Aerophobetes",155,"0%"
"973","Water (saline)","Aigarchaeota",4,"0%"
"974","Water (saline)","Aminicenantes",1776,"0.01%"
"975","Water (saline)","Ancient Archaeal Group(AAG)",2,"0%"
"976","Water (saline)","aquifer1",1,"0%"
"977","Water (saline)","Aquificae",4,"0%"
"978","Water (saline)","Armatimonadetes",1265,"0.01%"
"979","Water (saline)","Atribacteria",706,"0%"
"980","Water (saline)","Bacteroidetes",3730714,"23.09%"
"981","Water (saline)","Caldiserica",227,"0%"
"982","Water (saline)","Candidate division OP3",6202,"0.04%"
"983","Water (saline)","Candidate division SR1",118,"0%"
"984","Water (saline)","Chlamydiae",1017,"0.01%"
"985","Water (saline)","Chlorobi",20001,"0.12%"
"986","Water (saline)","Chloroflexi",133382,"0.83%"
"987","Water (saline)","CKC4",12,"0%"
"988","Water (saline)","Cloacimonetes",8368,"0.05%"
"989","Water (saline)","Crenarchaeota",57,"0%"
"990","Water (saline)","Cyanobacteria",2059139,"12.74%"
"991","Water (saline)","Deferribacteres",4514,"0.03%"
"992","Water (saline)","Deinococcus-Thermus",774,"0%"
"993","Water (saline)","Diapherotrites",15,"0%"
"994","Water (saline)","Dictyoglomi",11,"0%"
"995","Water (saline)","Elusimicrobia",836,"0.01%"
"996","Water (saline)","Euryarchaeota",115673,"0.72%"
"997","Water (saline)","Fibrobacteres",1228,"0.01%"
"998","Water (saline)","Firmicutes",63649,"0.39%"
"999","Water (saline)","Fusobacteria",33730,"0.21%"
"1000","Water (saline)","GAL08",10,"0%"
"1001","Water (saline)","Gemmatimonadetes",14309,"0.09%"
"1002","Water (saline)","GOUTA4",106,"0%"
"1003","Water (saline)","Gracilibacteria",2284,"0.01%"
"1004","Water (saline)","Hyd24-12",1725,"0.01%"
"1005","Water (saline)","Hydrogenedentes",588,"0%"
"1006","Water (saline)","JL-ETNP-Z39",155,"0%"
"1007","Water (saline)","Kazan-3B-09",384,"0%"
"1008","Water (saline)","Latescibacteria",5747,"0.04%"
"1009","Water (saline)","LCP-89",518,"0%"
"1010","Water (saline)","LD1-PA38",2,"0%"
"1011","Water (saline)","Lentisphaerae",6995,"0.04%"
"1012","Water (saline)","Marine Hydrothermal Vent Group(MHVG)",23,"0%"
"1013","Water (saline)","Marinimicrobia (SAR406 clade)",329714,"2.04%"
"1014","Water (saline)","Microgenomates",180,"0%"
"1015","Water (saline)","Miscellaneous Crenarchaeotic Group",1505,"0.01%"
"1016","Water (saline)","Miscellaneous Euryarchaeotic Group(MEG)",3,"0%"
"1017","Water (saline)","Nitrospirae",10304,"0.06%"
"1018","Water (saline)","OC31",23,"0%"
"1019","Water (saline)","Omnitrophica",921,"0.01%"
"1020","Water (saline)","Parcubacteria",1125,"0.01%"
"1021","Water (saline)","Parvarchaeota",26,"0%"
"1022","Water (saline)","PAUC34f",4057,"0.03%"
"1023","Water (saline)","Planctomycetes",105276,"0.65%"
"1024","Water (saline)","Proteobacteria",7981764,"49.4%"
"1025","Water (saline)","RsaHF231",3,"0%"
"1026","Water (saline)","Saccharibacteria",766,"0%"
"1027","Water (saline)","SBYG-2791",16,"0%"
"1028","Water (saline)","SHA-109",331,"0%"
"1029","Water (saline)","SM1K20",45,"0%"
"1030","Water (saline)","SM2F11",79,"0%"
"1031","Water (saline)","Spirochaetae",15085,"0.09%"
"1032","Water (saline)","Synergistetes",76,"0%"
"1033","Water (saline)","TA06",2482,"0.02%"
"1034","Water (saline)","Tenericutes",2469,"0.02%"
"1035","Water (saline)","Thaumarchaeota",93841,"0.58%"
"1036","Water (saline)","Thermotogae",49,"0%"
"1037","Water (saline)","TM6",1515,"0.01%"
"1038","Water (saline)","uncultured archaeon",19,"0%"
"1039","Water (saline)","Verrucomicrobia",376298,"2.33%"
"1040","Water (saline)","WCHB1-60",41,"0%"
"1041","Water (saline)","WD272",256,"0%"
"1042","Water (saline)","Woesearchaeota (DHVEG-6)",1609,"0.01%"
